time	peer	dir	hex	kind	name	detail
2026-09-18T01:07:37.868	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:37.869	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:37.875	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:37.879	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:37.881	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:37.881	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:37.898	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:37.900	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:37.900	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:37.900	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:37.917	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:37.917	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:40.945	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:40.953	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:40.971	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:40.971	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:40.979	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T01:07:40.979	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:40.988	processor:33714	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T01:07:40.991	processor:33714	tx	90 50 00 FF	reply		
2026-09-18T01:07:40.991	processor:33714	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T01:07:40.991	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:41.008	processor:33714	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T01:07:41.008	processor:33714	tx	90 50 03 FF	reply		
2026-09-18T01:07:41.020	processor:33714	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T01:07:41.021	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:41.025	processor:33714	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T01:07:41.025	processor:33714	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T01:07:41.039	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:41.039	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:41.048	processor:33714	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T01:07:41.051	processor:33714	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T01:07:41.059	processor:33714	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T01:07:41.059	processor:33714	tx	90 50 01 04 FF	reply		
2026-09-18T01:07:44.050	processor:33714	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T01:07:44.050	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:44.066	processor:33714	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T01:07:44.066	processor:33714	tx	90 50 02 FF	reply		
2026-09-18T01:07:44.090	processor:33714	rx	81 09 04 39 FF	inquiry	AutoExposure	
