time	peer	dir	hex	kind	name	detail
2026-09-18T11:01:21.452	processor:33730	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T11:01:21.452	processor:33730	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T11:01:21.464	processor:33730	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T11:01:21.464	processor:33730	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T11:01:21.473	processor:33730	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
2026-09-18T11:01:21.474	processor:33730	tx	90 50 00 03 0E 08 0F 0E 00 0C FF	reply		
2026-09-18T11:01:21.484	processor:33730	rx	81 C2 09 08 FF	inquiry	CameraOutput	
2026-09-18T11:01:21.484	processor:33730	tx	90 50 01 01 FF	reply		
2026-09-18T11:01:24.503	processor:33730	rx	81 09 04 00 FF	inquiry	Power	
2026-09-18T11:01:24.503	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:01:24.519	processor:33730	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-18T11:01:24.520	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:01:24.529	processor:33730	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-18T11:01:24.529	processor:33730	tx	90 50 00 FF	reply		
2026-09-18T11:01:24.539	processor:33730	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-18T11:01:24.539	processor:33730	tx	90 50 03 FF	reply		
2026-09-18T11:01:24.549	processor:33730	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-18T11:01:24.549	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:01:24.561	processor:33730	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-18T11:01:24.561	processor:33730	tx	90 50 03 FF	reply		
2026-09-18T11:01:24.571	processor:33730	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-18T11:01:24.571	processor:33730	tx	90 50 02 FF	reply		
2026-09-18T11:01:24.580	processor:33730	rx	81 09 04 47 FF	inquiry	ZoomPosition	
2026-09-18T11:01:24.581	processor:33730	tx	90 50 01 0F 04 00 FF	reply		
2026-09-18T11:01:24.592	processor:33730	rx	81 09 06 12 FF	inquiry	PanTiltPosition	
