time	peer	dir	hex	kind	name	detail
2026-09-14T23:51:17.644	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:17.644	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:17.661	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:17.661	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:17.690	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:17.690	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:17.970	processor:50066	rx	81 01 04 10 05 FF	command	WhiteBalance	One Push Trigger
2026-09-14T23:51:17.970	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:17.970	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:19.331	processor:50066	rx	81 01 04 35 03 FF	command	WhiteBalance	One Push
2026-09-14T23:51:19.331	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:19.331	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:20.692	processor:50066	rx	81 01 04 38 03 FF	command	AutoFocus	Off
2026-09-14T23:51:20.692	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:20.692	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:22.051	processor:50066	rx	81 01 04 38 02 FF	command	AutoFocus	On
2026-09-14T23:51:22.051	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:22.051	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:23.405	processor:50066	rx	81 01 04 38 03 FF	command	AutoFocus	Off
2026-09-14T23:51:23.406	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:23.406	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:24.770	processor:50066	rx	81 01 04 33 02 FF	command	Backlight	On
2026-09-14T23:51:24.770	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:24.770	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:26.141	processor:50066	rx	81 01 04 33 03 FF	command	Backlight	Off
2026-09-14T23:51:26.142	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:26.142	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:26.413	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:26.414	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:26.424	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:26.425	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:26.434	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:26.435	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:26.448	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:26.448	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:26.491	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:26.491	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:26.530	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:26.530	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:26.567	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:26.568	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:27.064	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:27.066	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:27.077	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:27.077	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:27.088	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:27.088	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:27.098	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:27.099	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:27.108	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:27.108	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:27.118	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:27.118	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:27.127	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:27.127	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:27.498	processor:50066	rx	81 01 04 33 02 FF	command	Backlight	On
2026-09-14T23:51:27.498	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:27.498	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:28.857	processor:50066	rx	81 01 04 62 02 FF	command	FreezeFrame	On
2026-09-14T23:51:28.857	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:28.857	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:30.216	processor:50066	rx	81 01 04 62 03 FF	command	FreezeFrame	Off
2026-09-14T23:51:30.216	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:30.217	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:31.572	processor:50066	rx	81 01 04 62 02 FF	command	FreezeFrame	On
2026-09-14T23:51:31.572	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:31.572	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:32.935	processor:50066	rx	81 C2 01 08 01 FF	command	CameraOutput	1
2026-09-14T23:51:32.936	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:32.936	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:34.291	processor:50066	rx	81 C2 01 08 02 FF	command	CameraOutput	2
2026-09-14T23:51:34.291	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:34.291	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:35.650	processor:50066	rx	81 C2 01 08 04 FF	command	CameraOutput	4
2026-09-14T23:51:35.650	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:35.651	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:37.010	processor:50066	rx	81 C2 01 08 05 FF	command	CameraOutput	5
2026-09-14T23:51:37.011	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:37.011	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:38.367	processor:50066	rx	81 C2 01 08 03 FF	command	CameraOutput	3
2026-09-14T23:51:38.367	processor:50066	tx	90 41 FF	reply		
2026-09-14T23:51:38.367	processor:50066	tx	90 51 FF	reply		
2026-09-14T23:51:41.375	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:41.375	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:41.385	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:41.385	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:41.395	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:41.396	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:41.409	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:41.409	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:41.419	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:41.419	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:41.428	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:41.428	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:41.450	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:41.451	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:42.633	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:42.633	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:42.644	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:42.644	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:42.654	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:42.654	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:42.663	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:42.664	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:42.674	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:42.674	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:42.684	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:42.684	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:42.694	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:42.694	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:45.709	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:45.709	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:45.722	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:45.723	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:45.734	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:45.734	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:45.743	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:45.744	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:45.752	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:45.752	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:45.763	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:45.763	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:45.774	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:45.774	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:48.789	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
2026-09-14T23:51:48.789	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:48.800	processor:50066	rx	81 09 08 01 FF	inquiry	TrackingFraming	
2026-09-14T23:51:48.800	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:48.811	processor:50066	rx	81 09 04 39 FF	inquiry	AutoExposure	
2026-09-14T23:51:48.811	processor:50066	tx	90 50 0D FF	reply		
2026-09-14T23:51:48.821	processor:50066	rx	81 09 04 35 FF	inquiry	WhiteBalance	
2026-09-14T23:51:48.821	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:48.833	processor:50066	rx	81 09 04 38 FF	inquiry	AutoFocus	
2026-09-14T23:51:48.833	processor:50066	tx	90 50 03 FF	reply		
2026-09-14T23:51:48.843	processor:50066	rx	81 09 04 33 FF	inquiry	Backlight	
2026-09-14T23:51:48.843	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:48.852	processor:50066	rx	81 09 04 62 FF	inquiry	FreezeFrame	
2026-09-14T23:51:48.852	processor:50066	tx	90 50 02 FF	reply		
2026-09-14T23:51:51.865	processor:50066	rx	81 09 04 00 FF	inquiry	Power	
