path	status	code	name	verified	bypassed	nres	warnings
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_UPPER.EIR	ok	80085	MismatchHash	True	False	2	ambiguous IR bypass: on-disk name ends in 'eir' but serialized _filename does not, and the decodes disagree on which one Validate reads (gap 2). Not taking the bypass; the code below is the hash outcome, and GC may return Valid regardless.
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_bare_noDOT_xxxeir	ok	80085	MismatchHash	True	False	2	ambiguous IR bypass: on-disk name ends in 'eir' but serialized _filename does not, and the decodes disagree on which one Validate reads (gap 2). Not taking the bypass; the code below is the hash outcome, and GC may return Valid regardless.
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_clean.eir	ok	0	Valid	True	False	2	ambiguous IR bypass: on-disk name ends in 'eir' but serialized _filename does not, and the decodes disagree on which one Validate reads (gap 2). Not taking the bypass; the code below is the hash outcome, and GC may return Valid regardless.
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_mixed.EiR	ok	80085	MismatchHash	True	False	2	ambiguous IR bypass: on-disk name ends in 'eir' but serialized _filename does not, and the decodes disagree on which one Validate reads (gap 2). Not taking the bypass; the code below is the hash outcome, and GC may return Valid regardless.
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_not.eirx	ok	80085	MismatchHash	True	False	2	
C:\Users\robp\AppData\Local\Temp\extval\mutants\case_weir.weir	ok	80085	MismatchHash	True	False	2	ambiguous IR bypass: on-disk name ends in 'eir' but serialized _filename does not, and the decodes disagree on which one Validate reads (gap 2). Not taking the bypass; the code below is the hash outcome, and GC may return Valid regardless.
